band_id;genre_name
597;Rhythm and blues
597;Funk
598;Psychedelic rock
598;Punk rock
598;New wave
598;Garage rock
598;Rock music
599;Indie pop
600;Chicago soul
600;Soul
600;Disco
600;Funk
600;Psychedelic soul
601;Indie pop
602;Contemporary R&B
604;Thrash metal
605;Punk rock
606;Industrial
606;Noise music
606;Martial industrial
606;New wave
606;Dubstep
606;Breakcore
606;Dark wave
606;Alternative rock
606;Dark ambient
606;Post-punk
607;Indie rock
607;Indietronica
607;Britpop
608;Black metal
609;Rap rock
609;Hardcore punk
609;Rapcore
609;Hip hop
609;Alternative hip hop
610;Christian country music
610;Traditional folk music
610;Contemporary worship music
611;Hard rock
612;Indie rock
612;Indietronica
612;Traditional folk music
612;Rock music
613;Soul
613;Rhythm and blues
614;Industrial rock
614;Industrial metal
614;Death metal
614;Drum and bass
614;Nu metal
615;Jazz rap
615;Hip hop
615;Alternative hip hop
616;Traditional folk music
616;Pop rock
616;Anarcho-punk
617;Hard rock
617;Rock music
618;Hard rock
618;Post-grunge
618;Alternative metal
618;Alternative rock
618;Nu metal
619;Folk rock
619;Progressive rock
620;Jazz rock
620;Krautrock
620;Jazz fusion
621;Pop music
621;Disco
621;Funk
621;Rock music
623;Southern hip hop
623;Hip hop
624;Norteño music
625;New wave
625;Post-punk
626;Art rock
626;Progressive rock
626;Experimental rock
627;Psychedelic rock
627;Country rock
627;Rock music
628;Hard rock
628;Post-grunge
628;Alternative metal
628;Heavy metal
629;Melodic death metal
629;Power metal
629;Death metal
629;Thrash metal
630;Indie rock
630;Indietronica
630;Noise rock
630;Punk rock
630;Lo-fi
630;Pop punk
631;Hard rock
631;Glam metal
631;Christian metal
631;Heavy metal
632;Punk rock
632;Garage rock
632;Alternative rock
633;Pop music
633;Eurodance
636;Folk rock
636;Pop rock
636;Soft rock
636;Rock music
637;Rock and roll
637;Garage rock
638;Indie rock
638;Indietronica
638;Post-rock
638;Alternative rock
638;Post-punk revival
639;Pop music
639;Rock music
640;Progressive metal
640;Power metal
641;Christian rock
643;Industrial
643;Psychedelic rock
643;Acid house
643;Post-punk
644;Folk rock
644;Post-grunge
644;Alternative rock
645;Indie rock
645;Indietronica
645;Alternative rock
646;Speed metal
646;Christian hardcore
646;Hardcore punk
646;Crossover thrash
646;Thrashcore
647;Rock music
648;Blue-eyed soul
649;Hip hop
650;Industrial
650;Psychedelic rock
650;Ambient music
650;New-age music
650;Synthpop
650;Krautrock
652;Latin pop
652;Reggaeton
653;Pop rock
654;Death 'n' roll
654;Melodic death metal
655;Hard rock
655;Stoner rock
656;Grunge
656;Indie rock
656;Indietronica
656;Psychedelic rock
656;Alternative rock
657;Hard rock
659;Grunge
659;Hard rock
659;Alternative rock
660;Thrash metal
660;Crossover thrash
660;Heavy metal
661;New wave
661;Post-punk
662;Neo-psychedelia
662;Minneapolis Sound
663;Indie rock
663;Indietronica
664;Emo
664;Indie rock
664;Indietronica
664;Dream pop
664;Pop punk
664;Post-hardcore
665;Hard rock
665;Punk rock
666;Dream pop
666;Shoegazing
666;New wave
666;Synthpop
666;Indie pop
667;Industrial metal
667;Melodic death metal
667;Metalcore
667;Alternative metal
668;Alternative rock
668;Power pop
669;Psychedelic rock
669;Garage rock
669;Acid rock
670;Hard rock
670;Heavy metal
671;Electro-industrial
671;Electronic body music
672;Melodic hardcore
672;Pop punk
673;Punk rock
